	ak_035166	ak_016465	ak_024143	ak_037037	ak_024401	ak_097125	ak_097366	ak_032645	ak_037693	ak_034033	ak_033463	ak_099390	ak_015445	ak_023546	ak_032440	op_033472	op_038401	op_102311	op_016307	op_023502	op_023870	op_098441	op_107201	op_035169	op_024146	op_024199	op_015958	op_032024	op_103496	op_023549
2086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	13	0	0	1	0	0	0	0	0	0	5
2090	0	0	0	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2091	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	5	0	0	0	1	0	1	0	0	0
2093	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
2098	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2109	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0
2115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	11	0	6	0	2	0	0	0	1	0	0	0
2120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	2	0	0	0	1
2143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0
2160	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0	0	0	0	0	0	0	0	1
2179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0
2207	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2221	1	10	4	0	3	1	2	41	6	0	19	1	1	9	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2238	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	3	0	0	0	1	0	0	0	0
2243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
2255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	1	0	9
2277	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	3	0	0	0	0	0	0	0	0	0	0
2302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0
2337	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0
2344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	1	4	1
2352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0	0	0
2365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
2397	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0
2442	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
2444	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	8	1	0	2	0	0	0	0	2	0	0	0	0	0	0
2445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
2454	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2455	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
2462	0	0	0	0	1	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	0	0	0	0	1	0
2498	0	0	0	7	0	0	1	0	0	0	2	0	2	0	2	1	1	0	2	1	0	0	0	1	1	1	0	2	1	1
2508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	7	4	0	0
2550	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
2576	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2578	0	1	2	0	2	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
2609	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2628	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2635	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0
2663	0	0	6	0	0	0	0	0	0	0	43	0	0	4	0	7	34	0	10	10	3	0	0	0	2	5	7	0	3	1
2691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	3	3	4	0	1	0	0	0	1	0	0	0
2696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3
2718	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
2730	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	2	4	0	2	0	7	0	1	0	0	1	0	0	1	1
2745	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2752	2	0	2	3	15	6	0	1	0	0	4	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	2	0	0	1	0	0	0	0	0	0	0	0	0	0
